what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377088908503
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377088912635
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377088916986
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377088962912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1377089016978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089018647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089036908
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1377089039231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089041508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089045547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089088858
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089114595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089116841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089219564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089221218
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089222419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089245972
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089248826
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089263800
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089274812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089276263
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1377089278244
closed,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1377089278244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089292999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089302935
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1377089303013
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1377089303060
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1377089377806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089380520
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089380692
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1377089421686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089422731
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089422903
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1377089429876
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089431233
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089453009
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089461074
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089472134
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089483896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089488918
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089490057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089505188
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1377089581858
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089583340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089583527
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089588300
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089593386
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089601934
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089605444
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.show.outline",1377089605475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089609624
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089622572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089635706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089650915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089659479
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1377089669244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089672099
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089673955
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089675905
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089677933
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089681583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089683549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089685546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089687854
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089690959
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089703922
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1377089712018
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089714186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089718585
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089723374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089738678
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089749223
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1377089756960
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1377089758832
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1377089760922
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1377089764838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1377089774385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089778316
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089783916
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089794648
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089796722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377089803226
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377089806252
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089818606
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1377089886954
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1377089904532
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377089935306
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1377089943931
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377090031293
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1377090035614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377090036627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1377090036799
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377090039778
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377090072533
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1377090083311
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377090087647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377090089191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377090157031
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377090212953
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1377090247598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377090250546
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377090252964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377090254508
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1377090256021
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1377090259157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1377090265412
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1377090270513
